City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,-18.58,82,75,3.44,broken clouds
80,Iralaya,HN,15.0,-83.2333,74.71,80,8,8.57,clear sky
81,Hithadhoo,MV,-0.6,73.0833,83.28,66,85,15.14,overcast clouds
82,Sale,MA,34.0389,-6.8166,53.62,100,0,3.44,clear sky
83,Sanchez,DO,19.2281,-69.6137,69.96,93,23,4.41,few clouds
84,Port Blair,IN,11.6667,92.75,84.24,70,20,11.5,few clouds
85,Avarua,CK,-21.2078,-159.775,77.05,88,100,6.91,light rain
86,Leningradskiy,RU,69.3833,178.4167,-27.29,88,16,7.81,few clouds
87,Talnakh,RU,69.4865,88.3972,-0.8,93,100,12.03,overcast clouds
88,Ancud,CL,-41.8697,-73.8203,49.53,78,7,3.11,clear sky
89,Sarangani,PH,5.4033,125.4636,81.66,76,79,23.94,moderate rain
90,Bredasdorp,ZA,-34.5322,20.0403,66.27,82,2,3.44,clear sky
91,Mbaiki,CF,3.8678,17.9892,69.13,34,83,2.64,broken clouds
92,Chuy,UY,-33.6971,-53.4616,61.99,75,19,3.98,few clouds
93,Puerto Wilches,CO,7.3483,-73.896,72.52,99,77,1.14,broken clouds
94,Cape Town,ZA,-33.9258,18.4232,67.26,89,40,4.61,scattered clouds
95,Mahebourg,MU,-20.4081,57.7,83.25,69,40,9.22,scattered clouds
96,Rikitea,PF,-23.1203,-134.9692,78.87,71,93,14.9,overcast clouds
97,Barrow,US,71.2906,-156.7887,-29.18,100,0,10.36,clear sky
98,Peru,US,40.7537,-86.0689,40.78,71,40,17.27,scattered clouds
99,Poopo,BO,-18.3667,-66.9667,43.59,79,45,5.61,scattered clouds
100,Albany,US,42.6001,-73.9662,27.18,68,15,4.0,few clouds
101,Codrington,AU,-38.2667,141.9667,71.4,56,37,19.17,scattered clouds
102,Zyryanka,RU,65.75,150.85,-35.55,98,89,3.04,overcast clouds
103,Mount Isa,AU,-20.7333,139.5,94.77,28,8,5.75,clear sky
104,Saskylakh,RU,71.9167,114.0833,4.41,89,98,14.16,overcast clouds
105,Sinnamary,GF,5.3833,-52.95,76.55,85,56,5.7,broken clouds
106,Nizhniy Odes,RU,63.6445,54.856,7.57,93,87,10.11,overcast clouds
107,Manaus,BR,-3.1019,-60.025,75.69,94,0,2.3,clear sky
108,Talas,TR,38.6908,35.5538,47.07,43,75,10.36,broken clouds
109,Namibe,AO,-15.1961,12.1522,72.25,86,97,6.6,overcast clouds
110,Longyearbyen,SJ,78.2186,15.6401,4.84,85,75,11.5,broken clouds
